,accuracy,auc,f1,precision,recall,optimal_threshold,temperature,best_epoch,time,epochs_trained
BiLSTM_Attention,0.46153846153846156,0.5621963070942663,0.631578947368421,0.46153846153846156,1.0,0.2,1.499936819076538,1.0,,
DL_Ensemble_Top3,0.5494505494505495,0.554421768707483,0.6495726495726496,0.5066666666666667,0.9047619047619048,,,,0.0,0.0
MultiScale_CNN,0.46153846153846156,0.553449951409135,0.631578947368421,0.46153846153846156,1.0,0.2,1.7928872108459473,1.0,,
TemporalAttention,0.46153846153846156,0.5476190476190477,0.631578947368421,0.46153846153846156,1.0,0.2,1.782773733139038,4.0,,
Optuna_Improved,0.4725274725274725,0.532069970845481,0.625,0.46511627906976744,0.9523809523809523,0.2,1.803572654724121,66.0,,
CNN_1D,0.4725274725274725,0.5272108843537415,0.6307692307692307,0.4659090909090909,0.9761904761904762,0.2,1.8377760648727417,21.0,,
DL_Ensemble_Weighted,0.5384615384615384,0.5272108843537415,0.5434782608695652,0.5,0.5952380952380952,,,,0.0,0.0
CNN_BiLSTM,0.5054945054945055,0.5238095238095238,0.6511627906976745,0.4827586206896552,1.0,0.4200000000000002,1.8160679340362549,56.0,,
DL_Ensemble_Avg,0.5384615384615384,0.521379980563654,0.5531914893617021,0.5,0.6190476190476191,,,,0.0,0.0
PhysNet_MLP,0.4725274725274725,0.5082604470359573,0.6363636363636364,0.4666666666666667,1.0,0.22000000000000003,1.7974177598953247,7.0,,
Transformer,0.4945054945054945,0.46161321671525746,0.6461538461538462,0.4772727272727273,1.0,0.36000000000000015,1.760940432548523,1.0,,
WideDeep,0.4725274725274725,0.40864917395529643,0.6363636363636364,0.4666666666666667,1.0,0.3000000000000001,1.756502628326416,3.0,,
